NDet ValTermo Soma ValReal ErroCal ErroTeo 
 1 +1.000000000000 +1.000000000000 +0.693147180560 +0.000000000000 +0.500000000000 
  2 -0.500000000000 +0.500000000000 +0.693147180560 +0.500000000000 +0.333333333333 
  3 +0.333333333333 +0.833333333333 +0.693147180560 +0.166666666667 +0.250000000000 
  4 -0.250000000000 +0.583333333333 +0.693147180560 +0.416666666667 +0.200000000000 
  5 +0.200000000000 +0.783333333333 +0.693147180560 +0.216666666667 +0.166666666667 
  6 -0.166666666667 +0.616666666667 +0.693147180560 +0.383333333333 +0.142857142857 
  7 +0.142857142857 +0.759523809524 +0.693147180560 +0.240476190476 +0.125000000000 
  8 -0.125000000000 +0.634523809524 +0.693147180560 +0.365476190476 +0.111111111111 
  9 +0.111111111111 +0.745634920635 +0.693147180560 +0.254365079365 +0.100000000000 
 10 -0.100000000000 +0.645634920635 +0.693147180560 +0.354365079365 +0.090909090909 
 11 +0.090909090909 +0.736544011544 +0.693147180560 +0.263455988456 +0.083333333333 
 12 -0.083333333333 +0.653210678211 +0.693147180560 +0.346789321789 +0.076923076923 
 13 +0.076923076923 +0.730133755134 +0.693147180560 +0.269866244866 +0.071428571429 
 14 -0.071428571429 +0.658705183705 +0.693147180560 +0.341294816295 +0.066666666667 
 15 +0.066666666667 +0.725371850372 +0.693147180560 +0.274628149628 +0.062500000000 
 16 -0.062500000000 +0.662871850372 +0.693147180560 +0.337128149628 +0.058823529412 
 17 +0.058823529412 +0.721695379784 +0.693147180560 +0.278304620216 +0.055555555556 
 18 -0.055555555556 +0.666139824228 +0.693147180560 +0.333860175772 +0.052631578947 
 19 +0.052631578947 +0.718771403175 +0.693147180560 +0.281228596825 +0.050000000000 
 20 -0.050000000000 +0.668771403175 +0.693147180560 +0.331228596825 +0.047619047619 
 21 +0.047619047619 +0.716390450794 +0.693147180560 +0.283609549206 +0.045454545455 
 22 -0.045454545455 +0.670935905340 +0.693147180560 +0.329064094660 +0.043478260870 
 23 +0.043478260870 +0.714414166209 +0.693147180560 +0.285585833791 +0.041666666667 
 24 -0.041666666667 +0.672747499543 +0.693147180560 +0.327252500457 +0.040000000000 
 25 +0.040000000000 +0.712747499543 +0.693147180560 +0.287252500457 +0.038461538462 
 26 -0.038461538462 +0.674285961081 +0.693147180560 +0.325714038919 +0.037037037037 
 27 +0.037037037037 +0.711322998118 +0.693147180560 +0.288677001882 +0.035714285714 
 28 -0.035714285714 +0.675608712404 +0.693147180560 +0.324391287596 +0.034482758621 
 29 +0.034482758621 +0.710091471025 +0.693147180560 +0.289908528975 +0.033333333333 
 30 -0.033333333333 +0.676758137691 +0.693147180560 +0.323241862309 +0.032258064516 
 31 +0.032258064516 +0.709016202208 +0.693147180560 +0.290983797792 +0.031250000000 
 32 -0.031250000000 +0.677766202208 +0.693147180560 +0.322233797792 +0.030303030303 
 33 +0.030303030303 +0.708069232511 +0.693147180560 +0.291930767489 +0.029411764706 
 34 -0.029411764706 +0.678657467805 +0.693147180560 +0.321342532195 +0.028571428571 
 35 +0.028571428571 +0.707228896376 +0.693147180560 +0.292771103624 +0.027777777778 
 36 -0.027777777778 +0.679451118598 +0.693147180560 +0.320548881402 +0.027027027027 
 37 +0.027027027027 +0.706478145625 +0.693147180560 +0.293521854375 +0.026315789474 
 38 -0.026315789474 +0.680162356152 +0.693147180560 +0.319837643848 +0.025641025641 
 39 +0.025641025641 +0.705803381793 +0.693147180560 +0.294196618207 +0.025000000000 
 40 -0.025000000000 +0.680803381793 +0.693147180560 +0.319196618207 +0.024390243902 
 41 +0.024390243902 +0.705193625695 +0.693147180560 +0.294806374305 +0.023809523810 
 42 -0.023809523810 +0.681384101886 +0.693147180560 +0.318615898114 +0.023255813953 
 43 +0.023255813953 +0.704639915839 +0.693147180560 +0.295360084161 +0.022727272727 
 44 -0.022727272727 +0.681912643112 +0.693147180560 +0.318087356888 +0.022222222222 
 45 +0.022222222222 +0.704134865334 +0.693147180560 +0.295865134666 +0.021739130435 
 46 -0.021739130435 +0.682395734899 +0.693147180560 +0.317604265101 +0.021276595745 
 47 +0.021276595745 +0.703672330644 +0.693147180560 +0.296327669356 +0.020833333333 
 48 -0.020833333333 +0.682838997311 +0.693147180560 +0.317161002689 +0.020408163265 
 49 +0.020408163265 +0.703247160576 +0.693147180560 +0.296752839424 +0.020000000000 
 50 -0.020000000000 +0.683247160576 +0.693147180560 +0.316752839424 +0.019607843137 
 
